Date,Open,High,Low,Close,Adj Close,Volume
13/4/2016,110.800003,112.339996,110.800003,112.040001,108.842041,33257300
14/4/2016,111.620003,112.389999,111.330002,112.099998,108.900322,25473900
15/4/2016,112.110001,112.300003,109.730003,109.849998,106.714546,46939000
18/4/2016,108.889999,108.949997,106.940002,107.480003,104.412193,60834000
19/4/2016,107.879997,108,106.230003,106.910004,103.858475,32384900
20/4/2016,106.639999,108.089996,106.059998,107.129997,104.072182,30611000
21/4/2016,106.93,106.93,105.519997,105.970001,102.945305,31552500
22/4/2016,105.010002,106.480003,104.620003,105.68,102.663574,33683100
25/4/2016,105,105.650002,104.510002,105.080002,102.080704,28031600
26/4/2016,103.910004,105.300003,103.910004,104.349998,101.371529,56016200
27/4/2016,96,98.709999,95.68,97.82,95.027931,114602100
28/4/2016,97.610001,97.879997,94.25,94.830002,92.123268,82242700
29/4/2016,93.989998,94.720001,92.510002,93.739998,91.064392,68531500
2/5/2016,93.970001,94.080002,92.400002,93.639999,90.967239,48160100
3/5/2016,94.199997,95.739998,93.68,95.18,92.46328,56831300
4/5/2016,95.199997,95.900002,93.82,94.190002,91.501541,41025500
5/5/2016,94,94.07,92.68,93.239998,91.130135,35890500
6/5/2016,93.370003,93.449997,91.849998,92.720001,90.621895,43458200
9/5/2016,93,93.769997,92.589996,92.790001,90.690315,32936400
10/5/2016,93.330002,93.57,92.110001,93.419998,91.306053,33686800
11/5/2016,93.480003,93.57,92.459999,92.510002,90.416656,28719100
12/5/2016,92.720001,92.779999,89.470001,90.339996,88.295753,76314700
13/5/2016,90,91.669998,90,90.519997,88.47168,44392800
16/5/2016,92.389999,94.389999,91.650002,93.879997,91.755653,61259800
17/5/2016,94.550003,94.699997,93.010002,93.489998,91.374474,46916900
18/5/2016,94.160004,95.209999,93.889999,94.559998,92.420265,42062400
19/5/2016,94.639999,94.639999,93.57,94.199997,92.068405,30442100
20/5/2016,94.639999,95.43,94.519997,95.220001,93.065338,32026000
23/5/2016,95.870003,97.190002,95.669998,96.43,94.24794,38018600
24/5/2016,97.220001,98.089996,96.839996,97.900002,95.684692,35140200
25/5/2016,98.669998,99.739998,98.110001,99.620003,97.365761,38168800
26/5/2016,99.68,100.730003,98.639999,100.410004,98.137901,56331200
27/5/2016,99.440002,100.470001,99.25,100.349998,98.079239,36229500
31/5/2016,99.599998,100.400002,98.82,99.860001,97.600334,42307200
1/6/2016,99.019997,99.540001,98.330002,98.459999,96.232025,29173300
2/6/2016,97.599998,97.839996,96.629997,97.720001,95.508759,40191600
3/6/2016,97.790001,98.269997,97.449997,97.919998,95.704224,28062900
6/6/2016,97.989998,101.889999,97.550003,98.629997,96.398163,23292500
7/6/2016,99.25,99.870003,98.959999,99.029999,96.789108,22409500
8/6/2016,99.019997,99.559998,98.68,98.940002,96.701157,20848100
9/6/2016,98.5,99.989998,98.459999,99.650002,97.395081,26601400
10/6/2016,98.529999,99.349998,98.480003,98.830002,96.593636,31712900
13/6/2016,98.690002,99.120003,97.099998,97.339996,95.137352,38020500
14/6/2016,97.32,98.480003,96.75,97.459999,95.254646,31931900
15/6/2016,97.82,98.410004,97.029999,97.139999,94.941887,29445200
16/6/2016,96.449997,97.75,96.07,97.550003,95.342613,31326800
17/6/2016,96.620003,96.650002,95.300003,95.330002,93.172836,61008200
20/6/2016,96,96.57,95.029999,95.099998,92.948044,34411900
21/6/2016,94.940002,96.349998,94.68,95.910004,93.739723,35546400
22/6/2016,96.25,96.889999,95.349998,95.550003,93.387871,29219100
23/6/2016,95.940002,96.290001,95.25,96.099998,93.925415,32240200
24/6/2016,92.910004,94.660004,92.650002,93.400002,91.286514,75311400
27/6/2016,93,93.050003,91.5,92.040001,89.957291,45489600
28/6/2016,92.900002,93.660004,92.139999,93.589996,91.472214,40444900
29/6/2016,93.970001,94.550003,93.629997,94.400002,92.263885,36531000
30/6/2016,94.440002,95.769997,94.300003,95.599998,93.436729,35836400
1/7/2016,95.489998,96.470001,95.330002,95.889999,93.720169,26026500
5/7/2016,95.389999,95.400002,94.459999,94.989998,92.840523,27705200
6/7/2016,94.599998,95.660004,94.370003,95.529999,93.368317,30949100
7/7/2016,95.699997,96.5,95.620003,95.940002,93.769043,25139600
8/7/2016,96.489998,96.889999,96.050003,96.68,94.492294,28912100
11/7/2016,96.75,97.650002,96.730003,96.980003,94.7855,23794900
12/7/2016,97.169998,97.699997,97.120003,97.419998,95.215546,24167500
13/7/2016,97.410004,97.669998,96.839996,96.870003,94.678001,25892200
14/7/2016,97.389999,98.989998,97.32,98.790001,96.554558,38919000
15/7/2016,98.919998,99.300003,98.5,98.779999,96.544777,30137000
18/7/2016,98.699997,100.129997,98.599998,99.830002,97.571014,36493900
19/7/2016,99.559998,100,99.339996,99.870003,97.610107,23779900
20/7/2016,100,100.459999,99.739998,99.959999,97.698074,26276000
